,0,1,2,3
StarOcean_Dance_In_Sword.mid,128.0596459999963,A,minor,134
T_AVGFighter_OpeningThemeV12.mid,160.006250000001,D,major,120
TDTWR.mid,63.87499999999987,B-,minor,120
UpaRupa.mid,65.71875000000017,A-,major,120
ct600ad.mid,293.325,D,major,160
Start_Stage.mid,72.67560299999926,D,minor,185
SMAS-Shrine.mid,140.00011200000054,A,minor,143
eb_onett1.mid,157.40243999999862,A,minor,105
Lennus_Rag.mid,40.88026125000006,B,minor,142
BrutalScene1.mid,235.76164682497952,G,minor,170
tetris_drm_tetrisbgm1.mid,99.74016000000216,E,minor,154
RS2_Boss.mid,99.3749999999973,G#,minor,160
B1L_smk_rainbowroad_pentagonpathremix_XG.mid,236.4814994062721,F,major,170
smkvictory.mid,33.00353842500011,C,major,140
battle_toads__double_dragon_-_level_4.mid,177.66216000000088,E,minor,120
DBZSuperButoden2-Cell.mid,115.47175199999934,E,major,105
StormEagleRMX.mid,189.9299300625062,B,minor,90
gradius-accidentroad16.mid,57.55866750000051,C,major,215
Forest2.mid,67.97777725000006,B,minor,156
1-13_Nurtured_Life_Brinstar_2.mid,253.60000000002825,B,major,150
sd318.mid,71.71200000000086,G,major,120
Some_Yoshi_Level_V20.mid,153.9947916666677,F,major,120
tiger1.mid,132.00000000000085,F,minor,100
ter14.mid,73.72799999999967,A,major,78
ao2_frozen.mid,111.39193606250237,E,minor,120
Story.mid,60.98750000000081,C,major,120
Retro_Hippie.mid,139.6324361250025,E,major,165
Mute_City_(Better).mid,109.41655724999988,C,minor,180
SOM1.mid,167.59460500000134,D,major,145
Rules.mid,53.70623999999991,E,minor,143
SNES_Toki_Memo_Library.mid,99.74015999999976,A,minor,154
snesArkBig_Boss.mid,52.227220500000065,E-,major,110
FE4-Silesia.mid,89.78034399999957,G,minor,103
DynabladeArea1.mid,81.99702775000118,F,major,163
trunks4.mid,56.248372395833336,A,minor,384
Mushroom_Kingdom2.mid,205.326183562503,C,major,90
z3cave.mid,38.39999999999986,B-,minor,125
Goku_vs_Freeza.mid,105.60000000000177,G#,minor,100
SNES_Toki_Memo_Menu.mid,191.42837999999452,D,major,126
MegaManX2_MagnaCentipede.mid,163.78361999999186,B,minor,185
FF5_home.mid,140.48783999999992,E,minor,122
proto.mid,84.17965382812581,A,minor,72
Forest4.mid,67.97777725000006,B,minor,156
mn-ShikokuIsland.mid,56.7488640000004,D,minor,202
SBomb2-Stage2.mid,203.70736800000614,E,major,102
ctworldrevolution.mid,364.5887844479325,A,minor,145
SMWValleyOfBowser.mid,38.000000000000036,D,major,120
kaw-havoc.mid,152.30247710000364,A-,major,102
luf2win2.mid,50.7691799999997,B-,major,156
area881.mid,60.0,A,minor,160
GokujyoParodius_CharSelect.mid,42.0,A,minor,160
27-Station2.mid,162.51935999999498,F,major,127
mtkoltz.mid,133.33344000000045,F,minor,143
smk4thplace.mid,35.322619500000094,C,minor,185
